	dir	ns	predicate	expanded	description
317	exercise	exercise	cyber-coalition	Cyber Coalition	Cyber Coalition tests and trains cyber defenders from across the Alliance in their ability to defend NATO and national networks. From defence against malware, through tackling hybrid challenges involving social media, to attacks on mobile devices, the exercise has a challenging, realistic scenario that helps prepare our cyber defenders for real-life cyber challenges. The training includes testing of operational and legal procedures, exchange of information and work with industry and partners.
318	exercise	exercise	pace	PACE	NATO-EU Parallel and Coordinated Exercise. PACE focuses on four key areas, namely situational awareness, effectiveness of our instruments to counter cyber threats at EU level, speed of reaction and appropriate reactivity of our crisis response mechanisms, as well as our capacity to communicate fast and in a coordinated way.
319	exercise	exercise	cyber-sopex	Cyber SOPEx	Cyber SOPEx (formerly known as EuroSOPEx) is the first step in a series of ENISA exercises focusing on training the participants on situational awareness, information sharing, understanding roles and responsibilities and utilising related tools, as agreed by the CSIRTs Network
320	exercise	exercise	generic	Generic	Generic exercise which are not named.
321	gsma-attack-category	gsma-attack-category	denial-of-service	(Distributed) Denial of Service	
322	gsma-attack-category	gsma-attack-category	exploit-attack	Exploit attack	
323	gsma-attack-category	gsma-attack-category	information-gathering	Information gathering	
324	gsma-attack-category	gsma-attack-category	insider-attack	Insider attack	
325	gsma-attack-category	gsma-attack-category	interception-attack	Interception attack	
326	gsma-attack-category	gsma-attack-category	manipulation-attack	Manipulation attack	
327	gsma-attack-category	gsma-attack-category	physical-attack	Physical attack	
328	gsma-attack-category	gsma-attack-category	spoofing	Spoofing	
329	priority-level	priority-level	emergency	Emergency	An Emergency priority incident poses an imminent threat to the provision of wide-scale critical infrastructure services, national government stability, or the lives of U.S. persons.
330	priority-level	priority-level	severe	Severe	A Severe priority incident is likely to result in a significant impact to public health or safety, national security, economic security, foreign relations, or civil liberties.
331	priority-level	priority-level	high	High	A High priority incident is likely to result in a demonstrable impact to public health or safety, national security, economic security, foreign relations, civil liberties, or public confidence.
332	priority-level	priority-level	medium	Medium	A Medium priority incident may affect public health or safety, national security, economic security, foreign relations, civil liberties, or public confidence.
333	priority-level	priority-level	low	Low	A Low priority incident is unlikely to affect public health or safety, national security, economic security, foreign relations, civil liberties, or public confidence.
334	priority-level	priority-level	baseline-minor	Baseline - Minor	A Baseline–Minor priority incident is an incident that is highly unlikely to affect public health or safety, national security, economic security, foreign relations, civil liberties, or public confidence. The potential for impact, however, exists and warrants additional scrutiny.
335	priority-level	priority-level	baseline-negligible	Baseline - Negligible	A Baseline–Negligible priority incident is an incident that is highly unlikely to affect public health or safety, national security, economic security, foreign relations, civil liberties, or public confidence.
336	scrippsco2-fgc	scrippsco2-fgc	-3	accepted-suspect	Potentially Suspect Data Accepted
337	scrippsco2-fgc	scrippsco2-fgc	-2	accepted-continuous-analyzer	Accepted value from continuous analyzer replacing flask data
338	scrippsco2-fgc	scrippsco2-fgc	-1	accepted-deviated-tolerance	Acepted Value retained although individual measurements deviated by more than selected tolerance
339	scrippsco2-fgc	scrippsco2-fgc	0	accepted	Accepted Value
340	scrippsco2-fgc	scrippsco2-fgc	1	rejected-during-analysis	Rejected during analysis
341	scrippsco2-fgc	scrippsco2-fgc	2	rejected-legacy-difference-night-mlo	Rejected unacceptably large flask-analyzer differences associated with night sampling (used only at MLO between Dec 1962 and Sep 1968)
342	scrippsco2-fgc	scrippsco2-fgc	3	rejected-continuous-data	Rejected flask measurement; used continuous data instead
343	scrippsco2-fgc	scrippsco2-fgc	4	rejected-tolerance-single-flask	Rejected Replicates do not agree to selected tolerance or single flask
344	scrippsco2-fgc	scrippsco2-fgc	5	rejected-derivation	Rejected Daily average deviates from fit by more than 3 standard deviations
345	scrippsco2-fgc	scrippsco2-fgc	6	rejected-legacy-poor-quality-kum-ljo	Rejected to improve local distribution of data such as too many data of generally poor quality (used only at two stations: KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)
346	scrippsco2-fgc	scrippsco2-fgc	7	rejected-unsteady-ljo	Rejected Unsteady air at site (La Jolla only)
347	scrippsco2-fgc	scrippsco2-fgc	8	rejected-manual	Rejected manually (see input/flag_flasks.csv)
348	interactive-cyber-training-audience	interactive-cyber-training-audience	sector	Sector	The sector from which the audience comes determines the nature of the training.
349	interactive-cyber-training-audience	interactive-cyber-training-audience	purpose	Purpose	Purpose answered the question for which reason trainings should be used.
350	interactive-cyber-training-audience	interactive-cyber-training-audience	proficiency-level	Proficiency Level	Proficiency describes the knowledge of users and what they are able to do.
351	interactive-cyber-training-audience	interactive-cyber-training-audience	target-audience	Target Audience	Target audience describes the audience, which is targeted by the training.
352	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes	Operators of Essential Services	
353	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes-energy	Operators of Essential Services - Energy Sector	
354	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes-transport	Operators of Essential Services - Transport Sector	
355	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes-banking	Operators of Essential Services - Banking Sector	
356	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes-financial	Operators of Essential Services - Financial Market Infrastructure Sector	
357	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes-health	Operators of Essential Services - Health Sector	
358	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes-water	Operators of Essential Services - Drinking Water Supply and Distribution Sector	
359	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-oes-diginfra	Operators of Essential Services - Digital Intrastructure Sector	
360	eu-nis-sector-and-subsectors	eu-nis-sector-and-subsectors	eu-nis-dsp	Digital Service Providers	
361	cytomic-orion	cytomic-orion	action	API action	Desired action of background jobs with the API
362	flesch-reading-ease	flesch-reading-ease	score	Score	
363	rsit	rsit	abusive-content	Abusive Content	Abusive Content.
364	rsit	rsit	malicious-code	Malicious Code	Software that is intentionally included or inserted in a system for a harmful purpose. A user interaction is normally necessary to activate the code.
365	rsit	rsit	information-gathering	Information Gathering	Information Gathering.
366	rsit	rsit	intrusion-attempts	Intrusion Attempts	Intrusion Attempts.
367	rsit	rsit	intrusions	Intrusions	A successful compromise of a system or application (service). This can have been caused remotely by a known or new vulnerability, but also by an unauthorised local access. Also includes being part of a botnet.
368	rsit	rsit	availability	Availability	By this kind of an attack a system is bombarded with so many packets that the operations are delayed or the system crashes. DoS examples are ICMP and SYN floods, Teardrop attacks and mail-bombing. DDoS often is based on DoS attacks originating from botnets, but also other scenarios exist like DNS Amplification attacks. However, the availability also can be affected by local actions (destruction, disruption of power supply, etc.) – or by Act of God, spontaneous failures or human error, without malice or gross neglect being involved.
369	rsit	rsit	information-content-security	Information Content Security	Besides a local abuse of data and systems the information security can be endangered by a successful account or application compromise. Furthermore attacks are possible that intercept and access information during transmission (wiretapping, spoofing or hijacking). Human/configuration/software error can also be the cause.
370	rsit	rsit	fraud	Fraud	Fraud.
371	rsit	rsit	vulnerable	Vulnerable	Open resolvers, world-readable printers, vulnerabilities apparent from scans, anti-virus signatures not up-to-date, etc.
372	rsit	rsit	other	Other	All incidents which don't fit in one of the given categories should be put into this class. If the number of incidents in this category increases, it is an indicator that the classification scheme must be revised.
373	rsit	rsit	test	Test	Meant for testing.
374	iot	iot	TCom	Technical complexity	IoT projects vary tremendously in terms of their technical sophistication. Digital Catapult has developed a scale based on technology complexity (TCom) that enables us to understand the state of IoT in the UK, and to assess what is currently being researched, trialled or deployed in real-life implementations.
375	iot	iot	SSL	System Security Level	A second characteristic of an IoT system concerns the inherent level of safety, privacy and security of that system. At one end of the spectrum, an IoT system may not gather data that is sensitive either in terms of safety or privacy, while at the other it may collect data about identifiable individuals or groups of individuals, involve financial transactions, or access to system data or have the ability to control objects that could compromise health, safety or security.
376	iot	iot	DSL	Data Sharing Level	A third characteristic of IoT systems concerns the degree of sharing of sensitive data between the object and the system, and subsequently between the system and the system operator(s) or participants, and third parties. Systems do not always need to share data, so IoT product, platform, service and system designers must be clear about when data is shared, what is shared and why.
377	event-assessment	event-assessment	alternative-points-of-view-process	Alternative points of view process	A list of procedures or practices which describe alternative points of view to validate or rate an analysis. The list describes techniques or methods which could reinforce the estimative language in a human analysis and/or challenge the assumptions to reduce the potential bias of the analysis introduced by the analyst(s).
378	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	primary-target	Target: Nation of Origin	This should be filled out even when the target is not a nation. When a campaign targets a non-state political actor, the nation of origin of that non-state political actor is filled in this field, if that information is available. Distinguishable territories are nations.
379	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	platforms-advertisement	Platforms: Advertisements	Advertisement through which a campaign targets an actor.
380	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	platforms-email	Platforms: Email	Email through which a campaign targets an actor.
381	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	primary-disinformant	Disinformant: Nation of Origin	This should be filled out even when the attacker is not a national government. When a campaign is run by a non-state political actor, the nation of origin of that non-state political actor is filled in this field, if that information is available. Likewise, this should be filled out if the preponderance of attacker activity originates from within a single nation. Distinguishable territories are nations.
382	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	target-category	Target: Category	When a campaign targets an actor, the category of that actor is filled in this field, if that information is available. Categories are not mutually exclusive. All relevant categories can be added.
383	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	target-concurrent-events	Target: Concurrent Events	When a campaign targets an actor, events which take place during the campaign are said to be concurrent events.
384	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	platforms-open-web	Platforms: Open Web	Open web media platform through which a campaign targets an actor.
385	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	platforms-social-media	Platforms: Social Media	Social media platform through which a campaign targets an actor.
386	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	platforms-messaging	Platforms: Messaging	Messaging platform through which a campaign targets an actor.
387	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	platforms	Platforms	Platforms through which a campaign targets an actor.
388	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	content-language	Content: Language	The language of the disinformation.
389	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	content-topic	Content: Topic	The subject evident in the campaign.
390	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	methods-tactics	Methods: Tactics	The tactics evident in the campaign.
391	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	methods-narrative-techniques	Methods: Narrative Techniques	The narrative techniques evident in the campaign.
392	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	disinformant-category	Disinformant: Category	When a disinformant targets an actor, the category of that disinformant is filled in this field, if that information is available. Categories are not mutually exclusive. All relevant categories can be added.
393	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	disinformant-concurrent-events	Disinformant: Concurrent Events	When a disinformant targets an actor, the category of that disinformant is filled in this field, if that information is available. Categories are not mutually exclusive. All relevant categories can be added.
394	DFRLab-dichotomies-of-disinformation	DFRLab-dichotomies-of-disinformation	disinformant-intent	Disinformant: Intent	This is the intent of the primary disinformant and any other disinformants coded.
395	cti	cti	planning	Phase	CTI requirementes being generated.
396	cti	cti	collection	Phase	Data collection initiated.
397	cti	cti	processing-and-analysis	Phase	Data is being processed and analyzed
398	cti	cti	dissemination-done	Phase	CTI product created and delivered to stakeholders.
399	cti	cti	feedback-received	Phase	Feedback received by stakeholders.
400	cti	cti	feedback-pending	Phase	Feedback pending by stakeholders.
401	gdpr	gdpr	special-categories	Special Categories	Special categories of personal data, refer to Art. 9 of the GDPR
402	targeted-threat-index	targeted-threat-index	targeting-sophistication-base-value	Targeting Sophistication – Base Value	The base value of the score ranges from 0 to 5, based on the sophistication of the email’s social engineering techniques used to get the victim to open the attachment. This score considers the content and presentation of the message as well as the claimed sender identity. This determination also includes the content of any associated files; many times malware is injected into legitimate relevant documents.
403	targeted-threat-index	targeted-threat-index	technical-sophistication-multiplier	Technical Sophistication – Multiplier	The technical sophistication score is a multiplier ranging from 1 to 2 based on how advanced the associated malware is, including malicious file attachments as well as links to malware hosted on another system. We use a multiplier because advanced malware requires significantly more effort and time (or money, in the case of commercial solutions) to custom-tune for a particular target.
404	vocabulaire-des-probabilites-estimatives	vocabulaire-des-probabilites-estimatives	degré-de-probabilité	Degré de probabilité	Le tableau suivant attribue des valeurs en pourcentage à certains énoncés de probabilité.  Les pourcentages sont tirés de l’ouvrage de Sherman Kent intitulé « Words of Estimative Probability » publié par le Centre for the Study of Intelligence de la CIA en 1964. 0% exprime une impossibilité et 100% exprime une certitude.
405	pentest	pentest	approach	Approach	This is group is dealing with differents types of pentest
406	pentest	pentest	scan	Scan	Automated tool that perform network checks
407	pentest	pentest	exploit	Exploit	Exploitation of a vulnerability
408	pentest	pentest	post_exploitation	Exploit	Utilizing post exploitation techniques will ensure that a penetration tester maintains some level of access and can potentially lead to deeper footholds into the targets trusted infrastructure. (https://www.offensive-security.com/metasploit-unleashed/msf-post-exploitation/)
409	pentest	pentest	web	Web	This is group is dealing with web vulnerabilities
410	pentest	pentest	network	Network	This is group is dealing with network vulnerabilities
411	pentest	pentest	social_engineering	Social engineering	Social engineering is an attack vector that relies heavily on human interaction and often involves tricking people into breaking normal security procedures. (https://krashconsulting.com/index.php/services/sea/)
412	pentest	pentest	vulnerability	Vulnerability	This is group is dealing with the classification of weaknesses and vulnerabilities
413	de-vs	de-vs	Einstufung	Einstufung	
414	de-vs	de-vs	Schutzwort	Schutzwort	
415	thales_group	thales_group	distribution		
416	thales_group	thales_group	to_block	Use it when you want to block Event Attributes on the Thales DIS Proxy (More to come). Distribution: All communities	This TAG will insure you that these Event Attributes will be blocked on the Thales DIS Proxy (More to come). Distribution: All communities
417	thales_group	thales_group	minarm	Use it when you want to share to the Thales Group MinArm alliance ONLY. Distribution: All communities	This TAG will insure you to share ONLY to the Thales Group MinArm alliance. Distribution: All communities
418	thales_group	thales_group	acn	Use it when you want to share to the Thales Group ACN alliance ONLY. Distribution: All communities	This TAG will insure you to share ONLY to the Thales Group ACN alliance. Distribution: All communities
419	thales_group	thales_group	sigpart	Use it when you want to share to the Thales Group Sigpart alliance ONLY. Distribution: All communities	This TAG will insure you to share ONLY to the Thales Group Sigpart alliance. Distribution: All communities
420	thales_group	thales_group	ioc_confidence	Use it when you want to assign a trust category to an Attribute or Globally to an Event. Distribution: All communities	Distribution: All communities
421	thales_group	thales_group	tlp:black	(TLP:BLACK) Information cannot be effectively acted outside of strict and reduced circle of a trust. Distribution: Restricted Sharing Group	Distribution: Restricted Sharing Group
422	thales_group	thales_group	Watcher	Use it when this came from Watcher Platform. Distribution: All communities	Distribution: All communities
423	current-event	current-event	pandemic	Pandemic	
424	current-event	current-event	election	Election	
425	open_threat	open_threat	threat-category	Threats to Information Systems	
426	open_threat	open_threat	threat-name	Threat Action Name and Rating	
427	ms-caro-malware-full	ms-caro-malware-full	malware-type	Malware Type: What the threat does on a computer	
428	ms-caro-malware-full	ms-caro-malware-full	malware-platform	Malware Platform: Operating system that the threat is designed to work on, scripting language, macros, and other file types	
429	ms-caro-malware-full	ms-caro-malware-full	malware-family	Malware Family: Group of threats with the same name	
430	gea-nz-entities	gea-nz-entities	parties-party	Parties Party	Information dealing with people or organisations.
431	gea-nz-entities	gea-nz-entities	parties-qualification	Parties Qualification	Information which relates to persons or organisations of a qualifying nature.
432	gea-nz-entities	gea-nz-entities	parties-role	Parties Role	Role information which relates to persons or organisations.
433	gea-nz-entities	gea-nz-entities	parties-party-relationship	Parties Party Relationship	Information about the relationship between two or more parties.
434	gea-nz-entities	gea-nz-entities	places-address	Places Address	Detailed information related to an address.
435	gea-nz-entities	gea-nz-entities	places-location-type	Places Location Type	Information of a geospatial or geopolitical nature held by an organisation.
436	gea-nz-entities	gea-nz-entities	places-address-type	Places Address Type	Identifies the types of address.
437	gea-nz-entities	gea-nz-entities	places-purpose-of-location	Places Purpose of Location	Information about the purpose of a given address or location.
438	gea-nz-entities	gea-nz-entities	items-application-&-ict-services	Items Application & ICT Services	Information about application and ICT service assets.
439	gea-nz-entities	gea-nz-entities	items-ict-infrastructure	Items ICT Infrastructure	Information about man made surroundings that provide setting for organisational activity, such as platforms, networks, facilities, and end user equipment.
440	gea-nz-entities	gea-nz-entities	items-natural	Items natural	Information held by organisation which relate to natural resources.
441	gea-nz-entities	gea-nz-entities	items-financial	Items Financial	Information related to financial assistance products.
442	gea-nz-entities	gea-nz-entities	items-goods	Items Goods	Information related to goods.
443	gea-nz-entities	gea-nz-entities	items-regulatory	Items Regulatory	Information on regulatory products managed by an organisation.
444	gea-nz-entities	gea-nz-entities	items-urban-infrastructure	Items Urban Infrastructure	Information related to urban infrastructure.
445	gea-nz-entities	gea-nz-entities	items-accommodation	Items Accommodation	Information related to short–term accommodation provided on a commercial basis, excluding long–term accommodation and accommodation that is provided on a non–commercial basis.
446	gea-nz-entities	gea-nz-entities	items-dwelling-type	Items Dwelling Type	Information related to occupied dwelling type is used to monitor trends and developments in housing and institutional dwellings, to plan for the future housing and service needs of the community.
447	gea-nz-entities	gea-nz-entities	items-artefact	Items Artefact	An artefact is an item of value and manifests in a concrete form such as reports, documents, tables, books, instruction manuals, evidence, etc.
448	gea-nz-entities	gea-nz-entities	items-waste	Items Waste	Information related to the waste used, managed or produced by the organisation.
449	gea-nz-entities	gea-nz-entities	items-item-usage	Items Item Usage	Identifies the ways in which an organisation may use an item.
450	gea-nz-entities	gea-nz-entities	items-other-item	Items Other Item	Detailed information of other items not categorised within Items.
451	event-classification	event-classification	event-class	Event Classification	
452	interception-method	interception-method	man-in-the-middle	Man-in-the-middle	Interception where an attacker secretly relayed and possibly altered the communication between two parties.
453	interception-method	interception-method	man-on-the-side	Man-on-the-side	Interception where an attacker could read and send messages between two parties but not alter messages.
454	interception-method	interception-method	passive	Passive	Interception where an attacker could read messages between two parties.
455	interception-method	interception-method	search-result-poisoning	Search result poisoning	Interception where an attacker creates malicious websites intended to show up in search engine queries.
456	interception-method	interception-method	dns	Dns	Interception where domain name resolution is altered to re-direct traffic to a malicious IP address.
457	interception-method	interception-method	host-file	Host file	Interception where the HOSTS file is modified to re-direct traffic to a malicious IP address.
458	interception-method	interception-method	other	Other	Other.
459	gea-nz-motivators	gea-nz-motivators	plans-budget	Plans Budget	Information relating to budget direction or processes.
460	gea-nz-motivators	gea-nz-motivators	plans-strategy	Plans Strategy	Detailed information relating to strategic management.
461	gea-nz-motivators	gea-nz-motivators	plans-effort	Plans Effort	Information relating to the required effort to achieve or fulfil a work related activity.
462	gea-nz-motivators	gea-nz-motivators	plans-measure	Plans Measure	Information which tracks the effectiveness in relation to activities managed by the organisation (inputs/outputs) or employee performance.
463	gea-nz-motivators	gea-nz-motivators	plans-risk	Plans Risk	Information about person(s) or thing(s) which relate to risk management within organisation.
464	gea-nz-motivators	gea-nz-motivators	plans-specification	Plans Specification	Information dealing with properties and constraints.
465	gea-nz-motivators	gea-nz-motivators	controls-operational	Controls Operational	Information about controls that provide the foundation for administration of an organisation.
466	gea-nz-motivators	gea-nz-motivators	controls-finance	Controls Finance	Information about the financial structures that provide management and control over the economic resources of the organisation.
467	gea-nz-motivators	gea-nz-motivators	controls-industry	Controls Industry	Information about industry practice issued by an industry specific regulation or professional body.
468	gea-nz-motivators	gea-nz-motivators	controls-technological	Controls Technological	Information about technical constraints.
469	gea-nz-motivators	gea-nz-motivators	controls-law	Controls Law	Information about controls in the form of legislation (statues, regulations, etc.).
470	gea-nz-motivators	gea-nz-motivators	controls-personal	Controls Personal	Information about the constraints an individual places on interactions with the government, or agency.
471	gea-nz-motivators	gea-nz-motivators	controls-security	Controls Security	Information about the constraints security places on interactions within and across the government, agencies and 3th parties.
472	gea-nz-motivators	gea-nz-motivators	contracts-arrangement	Contracts Arrangement	Information relating to contracts, agreements or other arrangements with other agencies, governments, public or private organizations.
473	gea-nz-motivators	gea-nz-motivators	contracts-rights	Contracts Rights	Information relating to moral or legal entitlement to have or do something.
474	gea-nz-motivators	gea-nz-motivators	contracts-obligation	Contracts Obligation	Information which is held by an organisation which relates to its obligations.
475	gea-nz-motivators	gea-nz-motivators	contracts-jurisdiction	Contracts Jurisdicrion	nformation about political and geographical areas in which an organisation operates.
476	gea-nz-motivators	gea-nz-motivators	controls-risk-governance	Controls Risk Governance	
477	gsma-network-technology	gsma-network-technology	user	User	
478	gsma-network-technology	gsma-network-technology	applications	Applications	
479	gsma-network-technology	gsma-network-technology	end-devices-and-components	End devices and components	
480	gsma-network-technology	gsma-network-technology	services	Services	
481	gsma-network-technology	gsma-network-technology	radio-access-network	Radio Access Network (RAN)	
482	gsma-network-technology	gsma-network-technology	support-and-provisioning-systems	Support and provisioning systems	
483	gsma-network-technology	gsma-network-technology	interconnects	Interconnects	
484	gsma-network-technology	gsma-network-technology	core	Core	
485	gsma-network-technology	gsma-network-technology	sim-secure-element-modules	SIM, Secure Element and Modules	
486	diamond-model	diamond-model	Adversary	An adversary is the actor/organization responsible for utilizing a capability against the victim to achieve their intent.	
487	diamond-model	diamond-model	Capability	The capability describes the tools and/or techniques of the adversary used in the event. It includes all means to affect the victim from the most manual “unsophisticated” methods (e.g., manual password guessing) to the most sophisticated automated techniques.	
488	diamond-model	diamond-model	Infrastructure	The infrastructure feature describes the physical and/or logical communication structures the adversary uses to deliver a capability, maintain control of capabilities (e.g., commandand-control/C2), and effect results from the victim (e.g., exfiltrate data). As with the other features, the infrastructure can be as specific or broad as necessary. Examples include: Internet Protocol (IP) addresses, domain names, e-mail addresses, Morse code flashes from a phone’s voice-mail light watched from across a street, USB devices found in a parking lot and inserted into a workstation, or the compromising emanations from hardware (e.g., Van Eck Phreaking) being collected by a nearby listening post.	
489	diamond-model	diamond-model	Victim	A victim is the target of the adversary and against whom vulnerabilities and exposures are exploited and capabilities used. A victim can be described in whichever way necessary and appropriate: organization, person, target email address, IP address, domain, etc. However, it is useful to define the victim persona and their assets separately as they serve different analytic functions. Victim personae are useful in non-technical analysis such as cyber-victimology and social-political centered approaches whereas victim assets are associated with common technical approaches such as vulnerability analysis..	
490	file-type	file-type	type	File category	
491	phishing	phishing	techniques	Techniques	Phishing techniques used.
492	phishing	phishing	distribution	Distribution	How the phishing is distributed.
493	phishing	phishing	report-type	Report type	How the phishing information was reported.
494	phishing	phishing	report-origin	Report origin	Origin or source of the phishing information such as tools or services.
495	phishing	phishing	action	Action	Action(s) taken related to the phishing tagged with this taxonomy.
496	phishing	phishing	state	State	State of the phishing.
497	phishing	phishing	psychological-acceptability	Psychological acceptability	Quality of the phishing by its level of acceptance by the target.
498	phishing	phishing	principle-of-persuasion	Principle of Persuasion	The principle of persuasion used during the attack to higher psychological acceptability.
499	csirt-americas	csirt-americas	defacement	Defacement	
500	csirt-americas	csirt-americas	malware	Malware	
501	csirt-americas	csirt-americas	ddos	DDoS	
502	csirt-americas	csirt-americas	phishing	Phishing	
503	csirt-americas	csirt-americas	spam	Spam	
504	csirt-americas	csirt-americas	botnet	Botnet	
505	csirt-americas	csirt-americas	fastflux	Fastflux	
506	csirt-americas	csirt-americas	cryptojacking	Cryptojacking	
507	csirt-americas	csirt-americas	xss	XSS	
508	csirt-americas	csirt-americas	sqli	SQL Injection	
509	csirt-americas	csirt-americas	vulnerability	Vulnerability	
510	csirt-americas	csirt-americas	infoleak	Information leak	
511	csirt-americas	csirt-americas	compromise	System compromise	
512	csirt-americas	csirt-americas	other	Other	
513	data-classification	data-classification	regulated-data	Regulated data	Data which is regulated under a specific regulation or law such as PII, SPD, PCI or PHI.
514	data-classification	data-classification	commercially-confidential-information	Commercially confidential information (CCI)	Data which represents a specific commercial value and is confidential to an organisation such as trade secrets, customer accounts.
515	data-classification	data-classification	financially-sensitive-information	Financially sensitive information (FSI)	Data which represents a specific financial value to an organisation such as payroll, investment information.
516	data-classification	data-classification	valuation-sensitive-information	Valuation sensitive information (VSI)	Data which is sensitive to the valuation of an organisation such as inside information (as defined by a Financial Services Authority).
517	data-classification	data-classification	sensitive-information	Sensitive information	Data which is sensitive such as email or letters.
518	information-security-data-source	information-security-data-source	type-of-information	Type of information	Type of provided information
519	information-security-data-source	information-security-data-source	originality	Originality	Originality and novelty of the provided information
520	information-security-data-source	information-security-data-source	timeliness-sharing-behavior	Timeliness sharing behavior	Timeliness of the provided information
521	information-security-data-source	information-security-data-source	integrability-format	Integrability format	Level of integrability format for the provided information
522	information-security-data-source	information-security-data-source	integrability-interface	Integrability interface	Level of integrability interface for the provided information
523	information-security-data-source	information-security-data-source	trustworthiness-creditabilily	Trustworthiness creditability	Source of the creditability
524	information-security-data-source	information-security-data-source	trustworthiness-traceability	Trustworthiness traceability	Traceability of the provided information
525	information-security-data-source	information-security-data-source	trustworthiness-feedback-mechanism	Trustworthiness feedback mechanism	Feedback such as user ratings or comments regarding the usefulness of the provided information
526	information-security-data-source	information-security-data-source	type-of-source	Type of source	Types of information security data source
527	ics	ics	ot-security-issues	OT IR Security Issues	
528	ics	ics	ot-network-data-transmission-protocols-automatic-automobile-vehicle-aviation	OT Network/Data Transmission Protocols in Automobile / Vehicle / Aviation	
529	ics	ics	ot-network-data-transmission-protocols-automatic-meter-reading	OT Network/Data Transmission Protocols in Automatic Meter Reading	
530	ics	ics	ot-network-data-transmission-protocols-industrial-control-system	OT Network/Data Transmission Protocols in Industrial Control System	
531	ics	ics	ot-network-data-transmission-protocols-building-automation	OT Network/Data Transmission Protocols in Building Automation	
532	ics	ics	ot-network-data-transmission-protocols-power-system-automation	OT Network/Data Transmission Protocols in Power System Automation	
533	ics	ics	ot-network-data-transmission-protocols-process-automation	OT Network/Data Transmission Protocols in Process Automation	
534	ics	ics	ot-communication-interface	OT IR Communication Interface	
535	ics	ics	ot-operating-systems	OT Operating Systems	
536	ics	ics	ot-components-category	OT Components Category	
537	kill-chain	kill-chain	Reconnaissance	Research, identification and selection of targets, often represented as crawling Internet websites such as conference proceedings and mailing lists for email addresses, social relationships, or information on specific technologies.	
538	kill-chain	kill-chain	Weaponization	Coupling a remote access trojan with an exploit into a deliverable payload, typically by means of an automated tool (weaponizer). Increasingly, client application data files such as Adobe Portable Document Format (PDF) or Microsoft Office documents serve as the weaponized deliverable.	
539	kill-chain	kill-chain	Delivery	Transmission of the weapon to the targeted environment. The three most prevalent delivery vectors for weaponized payloads by APT actors, as observed by the Lockheed Martin Computer Incident Response Team (LM-CIRT) for the years 2004-2010, are email attachments, websites, and USB removable media.	
540	kill-chain	kill-chain	Exploitation	After the weapon is delivered to victim host, exploitation triggers intruders' code. Most often, exploitation targets an application or operating system vulnerability, but it could also more simply exploit the users themselves or leverage an operating system feature that auto-executes code.	
541	kill-chain	kill-chain	Installation	Installation of a remote access trojan or backdoor on the victim system allows the adversary to maintain persistence inside the environment.	
542	kill-chain	kill-chain	Command and Control	Typically, compromised hosts must beacon outbound to an Internet controller server to establish a C2 channel. APT malware especially requires manual interaction rather than conduct activity automatically. Once the C2 channel establishes, intruders have 'hands on the keyboard' access inside the target environment.	
543	kill-chain	kill-chain	Actions on Objectives	Only now, after progressing through the first six phases, can intruders take actions to achieve their original objectives. Typically, this objective is data exfiltration which involves collecting, encrypting and extracting information from the victim environment; violations of data integrity or availability are potential objectives as well. Alternatively, the intruders may only desire access to the initial victim box for use as a hop point to compromise additional systems and move laterally inside the network.	
544	analyst-assessment	analyst-assessment	experience	Experience	The analyst experience expressed in years range in the field tagged. The year range is based on a standard 40-hour work week.
545	analyst-assessment	analyst-assessment	binary-reversing-arch	Reversing arch	Architecture that the analyst has experience with.
